Name,S2_CLAMP,Kc_CLAMP,S2XLIP_CLAMP
Heterogeneous_nuclear_ribonucleoprotein_27C,17.2209026128,0.0,0.0
Heterogeneous_nuclear_ribonucleoprotein_at_27C_isoform_D,17.2209026128,0.0,0.0
CG1832_isoform_A,10.2495543672,8.91265597148,160.106951872
CG1832_isoform_B,10.1590106007,8.83392226148,158.692579505
Isoform_A_of_ADPATP_carrier_protein,10.0334448161,24.2474916388,255.183946488
ADPATP_carrier_protein,9.61538461538,23.2371794872,244.551282051
Heat_shock_70_kDa_protein_cognate_3,5.33536585366,0.762195121951,42.8201219512
Histone_H4,4.85436893204,0.0,1200.19417476
Elongation_factor_1-alpha,4.329004329,6.49350649351,122.121212121
Elongation_factor_1-alpha_2,4.329004329,6.49350649351,122.121212121
Elongation_factor_1-alpha_1,4.31965442765,6.47948164147,121.857451404
CG17255_isoform_A,4.22260718926,3.57297531399,0.0
Eukaryotic_translation_initiation_factor_4G_isoform_A,2.10084033613,0.0,21.2484993998
Histone_H2B,2.0325203252,4.06504065041,632.845528455
Histone_H2A,2.01612903226,2.01612903226,0.0
Histone_H2A,2.01612903226,2.01612903226,0.0
GH17761p,1.87265917603,0.468164794007,45.543071161
Eukaryotic_translation_initiation_factor_4G_isoform_B,1.82386659719,0.0,18.4471078687
FI01658p,1.80505415162,0.0,80.0
Histone_H2A.v,1.77304964539,1.77304964539,153.475177305
Isoform_A_of_Ataxin-2_homolog,1.68918918919,0.0,0.0
CG7239,1.6339869281,0.0,0.0
Pif1A_isoform_D,1.5873015873,0.0,82.7619047619
Polyadenylate-binding_protein,1.57728706625,2.36593059937,89.2586750789
Heat_shock_70_kDa_protein_cognate_4,1.53609831029,1.15207373272,38.1874039939
Isoform_C_of_Ataxin-2_homolog,1.46627565982,0.0,0.0
Ataxin-2_homolog,1.38376383764,0.0,0.0
Gp210,1.33262260128,0.0,511.369936034
Polyubiquitin,1.31061598952,0.327653997379,31.874180865
Ubiquitin-63E_isoform_C,1.31061598952,0.327653997379,31.874180865
CG17233_isoform_D,1.29533678756,0.0,0.0
Protein_argonaute-2,1.23558484349,0.0,0.0
Isoform_C_of_Protein_argonaute-2,1.2325390304,0.0,0.0
CG4857_isoform_E,1.19976004799,0.0,0.0
CG4857_isoform_F,1.19976004799,0.0,0.0
Negative_elongation_factor_A,1.19904076739,2.39808153477,41.5507593925
Charged_multivesicular_body_protein_5,1.10619469027,0.0,0.0
CG4857_isoform_B,1.04657247514,0.0,0.0
CG4857_isoform_D,1.04657247514,0.0,0.0
CG17838_isoform_F,0.945179584121,0.945179584121,38.6578449905
CG17838_isoform_H,0.936329588015,0.936329588015,38.2958801498
CG17838_isoform_A,0.88809946714,0.88809946714,36.323268206
Voltage-dependent_anion-selective_channel,0.886524822695,5.31914893617,0.0
CG17838_isoform_E,0.875656742557,0.875656742557,35.8143607706
CG17233_isoform_A,0.852514919011,0.0,0.0
AAA_family_protein_Bor,0.827814569536,2.06953642384,0.0
Pif1A_isoform_C,0.815660685155,0.0,42.528548124
Protein_associated_with_topo_II_related-1,0.77479338843,0.0,0.0
Isoform_B_of_Protein_lingerer,0.750750750751,0.375375375375,0.0
Lingerer_isoform_E,0.750750750751,0.375375375375,0.0
Isoform_A_of_Protein_lingerer,0.744601638124,0.372300819062,0.0
Protein_lingerer,0.727272727273,0.363636363636,0.0
CG17838_isoform_D,0.707213578501,0.707213578501,28.9250353607
CG17838_isoform_B,0.70323488045,0.70323488045,28.7623066104
CG17233_isoform_C,0.682593856655,0.0,0.0
Calreticulin,0.615763546798,1.84729064039,0.0
Probable_histone-binding_protein_Caf1,0.581395348837,0.0,0.0
Uridine_kinase,0.445632798574,0.445632798574,0.0
Tax_Id=9606_Gene_Symbol=FLG2 Filaggrin-2,0.418235048097,0.209117524049,0.0
Isoform_2_of_Box_A-binding_factor,0.400320256205,0.0,0.0
Uridine_kinase,0.399361022364,0.399361022364,0.0
Box_A-binding_factor,0.395569620253,0.0,0.0
Homeodomain_interacting_protein_kinase_isoform_A,0.373134328358,0.0,0.0
CG42389_isoform_G,0.353857041755,0.0,0.0
Tax_Id=9606_Gene_Symbol=HRNR Hornerin,0.350877192982,0.0,0.0
CG42389_isoform_F,0.283768444949,0.0,0.0
