Name,S2_CLAMP,S2_IgG,S2_CLAMP-IgG,Kc_CLAMP,Kc_IgG,Kc_CLAMP-IgG
Heterogeneous_nuclear_ribonucleoprotein_27C,17.2209026128,2.37529691211,14.8456057007,0.0,0.0,0.0
Heterogeneous_nuclear_ribonucleoprotein_at_27C_isoform_D,17.2209026128,2.37529691211,14.8456057007,0.0,0.0,0.0
CG1832_isoform_A,10.2495543672,0.0,10.2495543672,8.91265597148,0.0,8.91265597148
CG1832_isoform_B,10.1590106007,0.0,10.1590106007,8.83392226148,0.0,8.83392226148
Isoform_A_of_ADPATP_carrier_protein,10.0334448161,3.34448160535,6.6889632107,24.2474916388,7.52508361204,16.7224080268
ADPATP_carrier_protein,9.61538461538,3.20512820513,6.41025641026,23.2371794872,7.21153846154,16.0256410256
Heat_shock_70_kDa_protein_cognate_3,5.33536585366,3.0487804878,2.28658536585,0.762195121951,0.762195121951,0.0
Histone_H4,4.85436893204,2.42718446602,2.42718446602,0.0,4.85436893204,-4.85436893204
Elongation_factor_1-alpha,4.329004329,1.62337662338,2.70562770563,6.49350649351,4.87012987013,1.62337662338
Elongation_factor_1-alpha_2,4.329004329,1.62337662338,2.70562770563,6.49350649351,4.87012987013,1.62337662338
Elongation_factor_1-alpha_1,4.31965442765,1.61987041037,2.69978401728,6.47948164147,4.8596112311,1.61987041037
CG17255_isoform_A,4.22260718926,0.0,4.22260718926,3.57297531399,0.0,3.57297531399
Eukaryotic_translation_initiation_factor_4G_isoform_A,2.10084033613,0.300120048019,1.80072028812,0.0,0.450180072029,-0.450180072029
Histone_H2B,2.0325203252,0.0,2.0325203252,4.06504065041,0.0,4.06504065041
Histone_H2A,2.01612903226,0.0,2.01612903226,2.01612903226,4.03225806452,-2.01612903226
Histone_H2A,2.01612903226,0.0,2.01612903226,2.01612903226,4.03225806452,-2.01612903226
GH17761p,1.87265917603,0.468164794007,1.40449438202,0.468164794007,2.80898876404,-2.34082397004
Eukaryotic_translation_initiation_factor_4G_isoform_B,1.82386659719,0.260552371027,1.56331422616,0.0,0.39082855654,-0.39082855654
FI01658p,1.80505415162,0.0,1.80505415162,0.0,0.0,0.0
Histone_H2A.v,1.77304964539,0.0,1.77304964539,1.77304964539,3.54609929078,-1.77304964539
Isoform_A_of_Ataxin-2_homolog,1.68918918919,0.281531531532,1.40765765766,0.0,0.563063063063,-0.563063063063
CG7239,1.6339869281,0.0,1.6339869281,0.0,0.0,0.0
Pif1A_isoform_D,1.5873015873,0.396825396825,1.19047619048,0.0,0.0,0.0
